Library Name,State,Visits,Total Programs,Circulation
BRUNDIDGE - TUPPER LIGHTFOOT MEMORIAL LIBRARY,AL,7800,176,7296
OZARK - DALE COUNTY PUBLIC LIBRARY,AL,73618,133,17821
CLIO - ELTON B. STEPHENS LIBRARY,AL,2560,16,4950
LOUISVILLE PUBLIC LIBRARY,AL,110,0,160
MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY,AL,12041,12,3131
NEWTON PUBLIC LIBRARY,AL,6074,259,16262
CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY,AL,3072,1,769
TROY PUBLIC LIBRARY,AL,65716,30,140461
UNION SPRINGS PUBLIC LIBRARY,AL,4523,0,2042
ANDALUSIA PUBLIC LIBRARY,AL,30458,72,38601
BRANTLEY PUBLIC LIBRARY,AL,1200,0,16205
ELBA PUBLIC LIBRARY,AL,17248,149,13639
GENEVA - EMMA KNOX KENAN LIBRARY,AL,5726,0,5281
ENTERPRISE PUBLIC LIBRARY,AL,56748,116,111385
FLORALA PUBLIC LIBRARY,AL,5504,76,8072
HARTFORD - MCGREGOR-MCKINNEY PUBLIC LIBRARY,AL,7996,35,16422
LUVERNE PUBLIC LIBRARY,AL,19891,193,20625
OPP PUBLIC LIBRARY,AL,10191,15,12600
SAMSON PUBLIC LIBRARY,AL,1720,5,3749
SLOCOMB PUBLIC LIBRARY,AL,4125,80,3100
HORSESHOE BEND REGIONAL LIBRARY,AL,4000,162,33070
ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY,AL,37477,99,28672
DADEVILLE PUBLIC LIBRARY,AL,17144,41,21820
GOODWATER PUBLIC LIBRARY,AL,4213,4,2757
AUBURN PUBLIC LIBRARY,AL,123138,1546,544970
OPELIKA PUBLIC LIBRARY,AL,268982,519,279361
MILLBROOK PUBLIC LIBRARY,AL,18450,74,29161
ROCKFORD PUBLIC LIBRARY,AL,550,5,696
TALLASSEE COMMUNITY PUBLIC LIBRARY,AL,13268,31,16895
WETUMPKA PUBLIC LIBRARY,AL,27781,96,59250
FLORENCE - LAUDERDALE PUBLIC LIBRARY,AL,98061,551,204429
TUSCUMBIA - HELEN KELLER PUBLIC LIBRARY,AL,16900,76,20817
LEIGHTON PUBLIC LIBRARY,AL,5979,39,37188
MUSCLE SHOALS PUBLIC LIBRARY,AL,156000,151,173955
ROGERSVILLE PUBLIC LIBRARY,AL,12804,213,34597
SHEFFIELD PUBLIC LIBRARY,AL,16910,19,21369
NORTHWEST REGIONAL LIBRARY,AL,0,0,8611
HAMILTON - CLYDE NIX PUBLIC LIBRARY,AL,8106,10,7990
KENNEDY PUBLIC LIBRARY,AL,113,4,341
GUIN - MCHS COMMUNITY LIBRARY,AL,485,4,447
MILLPORT PUBLIC LIBRARY,AL,851,4,1314
RUSSELLVILLE PUBLIC LIBRARY,AL,15723,104,11298
SULLIGENT PUBLIC LIBRARY,AL,1696,4,2946
VERNON - MARY WALLACE COBB MEMORIAL LIBRARY,AL,4236,80,6844
RED BAY - WEATHERFORD PUBLIC LIBRARY,AL,4760,4,3564
WINFIELD PUBLIC LIBRARY,AL,5038,24,9824
ATHENS - LIMESTONE PUBLIC LIBRARY,AL,48113,697,135649
DECATUR PUBLIC LIBRARY,AL,72443,176,161465
HARTSELLE - WILLIAM BRADFORD HUIE LIBRARY OF HARTSELLE,AL,11807,109,46227
LAWRENCE COUNTY PUBLIC LIBRARY,AL,16135,24,18026
BALDWIN COUNTY LIBRARY COOPERATIVE,AL,10000,0,9766
DAPHNE PUBLIC LIBRARY,AL,102903,447,198291
FAIRHOPE PUBLIC LIBRARY,AL,156951,1068,190884
FOLEY PUBLIC LIBRARY,AL,137258,596,379989
BAY MINETTE PUBLIC LIBRARY,AL,21809,94,69777
LOXLEY PUBLIC LIBRARY,AL,5633,38,10405
OSCAR JOHNSON MEMORIAL LIBRARY,AL,1848,0,2605
ROBERTSDALE PUBLIC LIBRARY,AL,55534,154,43667
GULF SHORES - THOMAS B. NORTON PUBLIC LIBRARY,AL,39971,161,72359
ADAMSVILLE PUBLIC LIBRARY,AL,5078,5,11596
BESSEMER PUBLIC LIBRARY,AL,20798,154,37623
MOUNTAIN BROOK - EMMET O`NEAL LIBRARY,AL,147398,851,434883
FAIRFIELD - WALTER J. HANNA MEMORIAL LIBRARY,AL,1200,4,1891
FULTONDALE PUBLIC LIBRARY,AL,45000,15,17694
GARDENDALE - MARTHA MOORE PUBLIC LIBRARY,AL,58579,289,115643
GRAYSVILLE PUBLIC LIBRARY,AL,13650,4,10859
HOMEWOOD PUBLIC LIBRARY,AL,121097,1103,492672
HOOVER PUBLIC LIBRARY,AL,339476,1003,1292652
HUEYTOWN PUBLIC LIBRARY,AL,12701,76,29611
IRONDALE PUBLIC LIBRARY,AL,12720,86,61203
LEEDS - JANE CULBRETH LIBRARY,AL,10840,92,45832
MIDFIELD PUBLIC LIBRARY,AL,3232,,1526
PLEASANT GROVE PUBLIC LIBRARY,AL,19040,37,20320
TARRANT PUBLIC LIBRARY,AL,10244,58,23760
TRUSSVILLE PUBLIC LIBRARY,AL,57891,384,284574
VESTAVIA HILLS LIBRARY IN THE FOREST,AL,282470,653,455757
WARRIOR PUBLIC LIBRARY,AL,12602,19,30981
BIRMINGHAM PUBLIC LIBRARY,AL,632417,2153,539780
FORT PAYNE - DEKALB COUNTY PUBLIC LIBRARY,AL,15807,70,37222
COLLINSVILLE PUBLIC LIBRARY,AL,3500,68,2403
GERALDINE PUBLIC LIBRARY,AL,2655,22,6710
RAINSVILLE PUBLIC LIBRARY,AL,16162,49,35501
ESCAMBIA COUNTY COOPERATIVE LIBRARY SYSTEM,AL,0,0,5990
ATMORE PUBLIC,AL,35000,90,42467
BREWTON PUBLIC LIBRARY,AL,19136,438,42214
FLOMATON PUBLIC LIBRARY,AL,6714,28,11695
GADSDEN - ETOWAH COUNTY PUBLIC LIBRARY,AL,89179,1239,80585
ATTALLA - ETOWAH COUNTY PUBLIC LIBRARY,AL,8750,7,3282
RAINBOW CITY PUBLIC LIBRARY,AL,44608,62,71963
DEMOPOLIS PUBLIC LIBRARY,AL,30087,74,24328
MARENGO COUNTY PUBLIC LIBRARY,AL,5291,2,7857
MARSHALL COUNTY COOPERATIVE LIBRARY,AL,4542,0,22134
ARAB PUBLIC LIBRARY,AL,13200,107,44528
BOAZ PUBLIC LIBRARY,AL,36044,184,100235
GUNTERSVILLE PUBLIC LIBRARY,AL,31200,289,45908
ALBERTVILLE PUBLIC LIBRARY,AL,12032,126,28127
HARRISON REGIONAL LIBRARY SYSTEM,AL,476,2,124496
ALABASTER - ALBERT L. SCOTT LIBRARY,AL,48180,331,284465
CALERA PUBLIC LIBRARY,AL,19344,103,62558
COLUMBIANA PUBLIC LIBRARY,AL,14528,175,159584
HELENA - JANE B. HOLMES PUBLIC LIBRARY,AL,20227,194,183280
VINCENT - LALLOUISE F. MCGRAW LIBRARY,AL,2909,6,120518
MONTEVALLO - PARNELL MEMORIAL LIBRARY,AL,20529,218,146581
PELHAM PUBLIC LIBRARY,AL,132757,347,196506
WILSONVILLE - VERNICE STOUDENMIRE LIBRARY,AL,1800,47,122484
NORTH SHELBY LIBRARY,AL,61735,605,397877
ALICEVILLE PUBLIC LIBRARY,AL,5700,55,4583
CARROLLTON PUBLIC LIBRARY,AL,6760,10,15615
GORDO - RUTH HOLLIMAN MEMORIAL PUBLIC LIBRARY,AL,3956,63,6340
REFORM PUBLIC LIBRARY,AL,3840,380,12
MCCAIN MEMORIAL PUBLIC LIBRARY,AL,5773,35,11987
MOODY - DORIS STANLEY MEMORIAL LIBRARY,AL,12363,201,21789
ODENVILLE PUBLIC LIBRARY,AL,7680,60,5704
PELL CITY PUBLIC LIBRARY,AL,58125,234,71834
YORK - HIGHTOWER MEMORIAL LIBRARY,AL,5733,29,1759
LIVINGSTON - RUBY PICKENS TARTT PUBLIC LIBRARY,AL,9854,0,10588
ANNISTON - CALHOUN COUNTY PUBLIC LIBRARY,AL,80775,507,107787
JACKSONVILLE PUBLIC LIBRARY,AL,33826,104,39272
PIEDMONT PUBLIC LIBRARY,AL,36200,105,13422
AKRON PUBLIC LIBRARY,AL,312,23,2869
DOTHAN HOUSTON COUNTY LIBRARY SYSTEM,AL,283841,566,186314
BLOUNTSVILLE PUBLIC LIBRARY,AL,23000,21,11193
CHEROKEE PUBLIC LIBRARY,AL,1150,2,3376
BRENT - CENTREVILLE PUBLIC LIBRARY,AL,15658,40,12945
CHILTON - CLANTON PUBLIC LIBRARY,AL,26356,98,37207
CHOCTAW COUNTY PUBLIC LIBRARY,AL,4281,19,4094
CITRONELLE MEMORIAL LIBRARY,AL,7910,32,11545
GROVE HILL PUBLIC LIBRARY,AL,3892,132,4082
HUNTSVILLE - MADISON COUNTY PUBLIC LIBRARY,AL,1132739,4340,2597220
EUTAW - JAMES C. POOLE JR. MEMORIAL LIBRARY,AL,2350,35,487
GREENVILLE - BUTLER COUNTY PUBLIC LIBRARY,AL,15600,142,14832
HALE COUNTY LIBRARY,AL,4023,53,4599
CHICKASAW - INA PULLEN SMALLWOOD MEMORIAL LIBRARY,AL,4763,15,3338
JACKSON - WHITE SMITH MEMORIAL LIBRARY,AL,8097,24,6752
MARION - PERRY COUNTY PUBLIC LIBRARY,AL,4277,126,4321
WOODVILLE PUBLIC LIBRARY,AL,3181,167,2847
CITY OF BAYOU LA BATRE PUBLIC LIBRARY,AL,25000,10,11690
SCOTTSBORO PUBLIC LIBRARY,AL,34271,72,33524
ONEONTA PUBLIC LIBRARY,AL,30370,69,53553
THOMASVILLE PUBLIC LIBRARY,AL,37302,657,18763
MACON COUNTY - TUSKEGEE PUBLIC LIBRARY,AL,175,2,567
MOUNDVILLE PUBLIC LIBRARY,AL,7000,37,13290
UNIONTOWN PUBLIC LIBRARY,AL,500,0,1012
PRICHARD PUBLIC LIBRARY,AL,1300,0,550
WASHINGTON COUNTY PUBLIC LIBRARY,AL,30943,95,15295
EVERGREEN PUBLIC LIBRARY,AL,6892,20,39314
MOBILE PUBLIC LIBRARY,AL,607307,2265,1414308
MONTGOMERY CITY-COUNTY PUBLIC LIBRARY,AL,255556,2029,565982
WHITE HALL PUBLIC LIBRARY,AL,156,12,60
STEVENSON PUBLIC LIBRARY,AL,3536,83,4912
KILLEN PUBLIC LIBRARY,AL,4576,0,10138
LEXINGTON - BURCHELL CAMPBELL MEMORIAL LIBRARY,AL,2841,0,19980
AUTAUGA - PRATTVILLE PUBLIC LIBRARY,AL,62905,269,238644
FAYETTE COUNTY MEMORIAL LIBRARY,AL,15402,135,28377
PHENIX CITY - RUSSELL COUNTY PUBLIC LIBRARY,AL,33451,140,28459
SELMA - DALLAS COUNTY PUBLIC LIBRARY,AL,92060,216,26133
TUSCALOOSA PUBLIC LIBRARY,AL,503907,540,646845
WILCOX COUNTY LIBRARY,AL,2088,18,6908
MONROE COUNTY PUBLIC LIBRARY,AL,9891,230,8811
CULLMAN COUNTY PUBLIC LIBRARY,AL,220124,308,111872
VALLEY - H. GRADY BRADSHAW / CHAMBERS COUNTY LIBRARY,AL,30546,233,56729
HOKES BLUFF PUBLIC LIBRARY,AL,11016,46,7687
RAGLAND PUBLIC LIBRARY,AL,1666,21,3091
HAYNEVILLE - LOWNDES COUNTY PUBLIC LIBRARY,AL,5870,16,5119
IDER PUBLIC LIBRARY,AL,3797,27,1989
EUFAULA CARNEGIE LIBRARY,AL,31074,55,22019
GRANT PUBLIC LIBRARY,AL,3150,33,4986
DALEVILLE PUBLIC LIBRARY,AL,16707,96,6088
COURTLAND PUBLIC LIBRARY,AL,1095,22,1351
EVA PUBLIC LIBRARY,AL,4611,58,5827
CROSSVILLE PUBLIC LIBRARY,AL,3315,2,4013
WALNUT GROVE - WESTSIDE PUBLIC LIBRARY,AL,764,3,508
ORANGE BEACH PUBLIC LIBRARY,AL,153368,337,132660
SATSUMA PUBLIC LIBRARY,AL,26700,228,6643
FALKVILLE PUBLIC LIBRARY,AL,3166,5,3241
SPRINGVILLE PUBLIC LIBRARY,AL,18837,299,67628
