Library Name,State,Visits,Total Programs,Circulation
NEW WINDSOR PUBLIC LIBRARY DISTRICT,IL,1759,6,2536
NEWTON PUBLIC LIBRARY DISTRICT,IL,14664,127,36313
NILES-MAINE DISTRICT LIBRARY,IL,175486,1220,681381
NIPPERSINK PUBLIC LIBRARY DISTRICT,IL,12000,47,59914
NOKOMIS PUBLIC LIBRARY,IL,4015,28,9026
NORMAL PUBLIC LIBRARY,IL,132374,396,601394
NORRIS CITY MEMORIAL PUBLIC LIBRARY DISTRICT,IL,12222,14,19219
MESSENGER PUBLIC LIBRARY OF NORTH AURORA,IL,48217,309,153139
NORTH CHICAGO PUBLIC LIBRARY,IL,8934,97,4379
NORTH RIVERSIDE PUBLIC LIBRARY DISTRICT,IL,103437,1860,67676
NORTH SUBURBAN PUBLIC LIBRARY DISTRICT,IL,151377,533,338532
NORTHBROOK PUBLIC LIBRARY,IL,189214,862,1017829
NORTHLAKE PUBLIC LIBRARY DISTRICT,IL,44355,399,96946
OAK BROOK PUBLIC LIBRARY,IL,35108,113,111856
OAK LAWN PUBLIC LIBRARY,IL,80530,313,404337
OAK PARK PUBLIC LIBRARY,IL,198365,816,1189811
OAKWOOD PUBLIC LIBRARY DISTRICT,IL,10120,92,11705
ODELL PUBLIC LIBRARY DISTRICT,IL,3464,29,7996
O'FALLON PUBLIC LIBRARY,IL,108752,352,288290
OGDEN ROSE PUBLIC LIBRARY,IL,1500,2,1835
OGLESBY PUBLIC LIBRARY DISTRICT,IL,10514,0,12640
OHIO PUBLIC LIBRARY DISTRICT,IL,1290,19,3040
OLNEY PUBLIC LIBRARY,IL,52145,76,71272
ONARGA COMMUNITY PUBLIC LIBRARY DISTRICT,IL,2339,16,3936
GREIG MEMORIAL LIBRARY,IL,1643,9,1677
OREGON PUBLIC LIBRARY DISTRICT,IL,10000,218,28218
ORLAND PARK PUBLIC LIBRARY,IL,202533,447,466350
OSWEGO PUBLIC LIBRARY DISTRICT,IL,200452,466,802939
REDDICK PUBLIC LIBRARY DISTRICT,IL,47363,347,110897
PALATINE PUBLIC LIBRARY DISTRICT,IL,262092,819,1234655
PALESTINE PUBLIC LIBRARY DISTRICT,IL,15106,242,10655
PALOS HEIGHTS PUBLIC LIBRARY,IL,57652,327,113935
PALOS PARK PUBLIC LIBRARY,IL,24960,199,43104
CARNEGIE-SCHUYLER LIBRARY,IL,3900,1,16264
PARIS CARNEGIE PUBLIC LIBRARY,IL,6500,31,28753
PARK FOREST PUBLIC LIBRARY,IL,34464,104,62521
PARK RIDGE PUBLIC LIBRARY,IL,123383,472,477988
PATOKA PUBLIC LIBRARY,IL,733,0,1089
PAW PAW PUBLIC LIBRARY DISTRICT,IL,2974,62,3445
PAWNEE PUBLIC LIBRARY,IL,4300,9,9537
PAXTON CARNEGIE LIBRARY,IL,6099,33,27029
PEARL CITY PUBLIC LIBRARY DISTRICT,IL,4940,18,5143
PECATONICA PUBLIC LIBRARY DISTRICT,IL,18253,48,38614
PEKIN PUBLIC LIBRARY,IL,65873,529,182278
PEORIA PUBLIC LIBRARY,IL,189297,658,706668
PEORIA HEIGHTS PUBLIC LIBRARY,IL,19404,327,38371
PEOTONE PUBLIC LIBRARY DISTRICT,IL,26742,295,47737
PERU PUBLIC LIBRARY,IL,39248,69,53705
PETERSBURG PUBLIC LIBRARY,IL,8878,128,28233
PHILO PUBLIC LIBRARY DISTRICT,IL,6448,266,13253
PINCKNEYVILLE PUBLIC LIBRARY,IL,6783,26,6478
PIPER CITY PUBLIC LIBRARY DISTRICT,IL,2051,25,2551
PITTSFIELD PUBLIC LIBRARY,IL,21268,14,32372
PLAINFIELD PUBLIC LIBRARY DISTRICT,IL,90611,2041,522936
PLANO COMMUNITY LIBRARY DISTRICT,IL,33142,272,67775
POLO PUBLIC LIBRARY DISTRICT,IL,7529,208,14302
PONTIAC PUBLIC LIBRARY,IL,20530,211,38078
POPLAR CREEK PUBLIC LIBRARY DISTRICT,IL,127835,785,249581
POTOMAC PUBLIC LIBRARY DISTRICT,IL,1358,201,483
PRAIRIE TRAILS PUBLIC LIBRARY DISTRICT,IL,27247,535,84926
PRINCETON PUBLIC LIBRARY,IL,42625,114,36890
LILLIE M. EVANS LIBRARY DISTRICT,IL,18893,365,34942
HENRY C. ADAMS MEMORIAL LIBRARY,IL,6300,138,4901
PROSPECT HEIGHTS PUBLIC LIBRARY DISTRICT,IL,59604,838,209156
PUTNAM COUNTY PUBLIC LIBRARY DISTRICT,IL,7558,443,24334
QUINCY PUBLIC LIBRARY,IL,80722,334,369744
RANTOUL PUBLIC LIBRARY,IL,30482,122,27677
RED BUD PUBLIC LIBRARY,IL,7079,12,11920
RICHTON PARK PUBLIC LIBRARY DISTRICT,IL,20572,254,26900
ELWOOD LIBRARY DISTRICT,IL,796,12,3777
RIVER FOREST PUBLIC LIBRARY,IL,77387,641,226750
RIVER GROVE PUBLIC LIBRARY DISTRICT,IL,10859,93,28297
RIVER VALLEY DISTRICT LIBRARY,IL,24169,284,41760
RIVERDALE PUBLIC LIBRARY DISTRICT,IL,4058,15,11899
ROBERT R. JONES PUBLIC LIBRARY DISTRICT,IL,18928,90,25944
ROBINSON PUBLIC LIBRARY DISTRICT,IL,43596,174,42699
FLAGG-ROCHELLE PUBLIC LIBRARY DISTRICT,IL,21080,45,30052
ROCHESTER PUBLIC LIBRARY DISTRICT,IL,33180,364,96312
ROCK FALLS PUBLIC LIBRARY DISTRICT,IL,28486,21,24812
ROCK ISLAND PUBLIC LIBRARY,IL,82245,624,210374
ROCKFORD PUBLIC LIBRARY,IL,232907,549,615583
ROLLING MEADOWS LIBRARY,IL,59457,225,176387
ROODHOUSE PUBLIC LIBRARY,IL,5726,216,10422
ROSELLE PUBLIC LIBRARY DISTRICT,IL,38992,521,180719
ROSICLARE MEMORIAL PUBLIC LIBRARY,IL,4921,95,2764
ROUND LAKE AREA PUBLIC LIBRARY DISTRICT,IL,78384,284,156500
ROXANA PUBLIC LIBRARY DISTRICT,IL,14024,261,10628
ROYALTON PUBLIC LIBRARY DISTRICT,IL,2017,0,851
RUSHVILLE PUBLIC LIBRARY,IL,33274,101,17255
SAINT CHARLES PUBLIC LIBRARY DISTRICT,IL,227231,1299,903356
SAINT ELMO PUBLIC LIBRARY DISTRICT,IL,7769,24,14356
SAINT JOSEPH TOWNSHIP-SWEARINGEN MEMORIAL LIBRARY,IL,12091,9,33262
BRYAN-BENNETT LIBRARY,IL,29380,78,24866
SALEM TOWNSHIP PUBLIC LIBRARY DISTRICT,IL,3264,108,6301
SANDWICH PUBLIC LIBRARY DISTRICT,IL,26049,527,37958
SAVANNA PUBLIC LIBRARY DISTRICT,IL,1960,51,5788
SCHAUMBURG TOWNSHIP DISTRICT LIBRARY,IL,437732,1857,2027286
SCHILLER PARK PUBLIC LIBRARY,IL,20280,28,22782
SCHMALING MEMORIAL PUBLIC LIBRARY DISTRICT,IL,9880,76,20575
SELBY TOWNSHIP LIBRARY DISTRICT,IL,2792,107,1931
SENECA PUBLIC LIBRARY DISTRICT,IL,12000,300,23959
SESSER PUBLIC LIBRARY,IL,2051,18,2379
FLEWELLIN MEMORIAL LIBRARY,IL,1414,55,2224
SHAWNEETOWN PUBLIC LIBRARY,IL,1778,23,486
SHEFFIELD PUBLIC LIBRARY,IL,1019,20,1553
SHELBYVILLE PUBLIC LIBRARY,IL,12125,62,29803
SHELDON PUBLIC LIBRARY DISTRICT,IL,9911,15,4411
SHERRARD PUBLIC LIBRARY DISTRICT,IL,17042,244,34339
SHOREWOOD-TROY PUBLIC LIBRARY DISTRICT,IL,50914,486,185102
SIDELL DISTRICT LIBRARY,IL,2669,4,6246
SIDNEY COMMUNITY LIBRARY,IL,2925,0,4597
SILVIS PUBLIC LIBRARY,IL,19477,238,24701
SKOKIE PUBLIC LIBRARY,IL,352521,1314,1251688
SOMONAUK PUBLIC LIBRARY DISTRICT,IL,70711,475,35916
SOUTH BELOIT PUBLIC LIBRARY,IL,6124,42,14822
SOUTH COUNTY PUBLIC LIBRARY DISTRICT,IL,6550,0,2186
SOUTH HOLLAND PUBLIC LIBRARY,IL,42986,359,66514
SPARTA PUBLIC LIBRARY,IL,7958,18,9630
SPOON RIVER LIBRARY DISTRICT,IL,3210,29,4823
RICHARD A. MAUTINO MEMORIAL LIBRARY,IL,8944,40,14670
LINCOLN LIBRARY,IL,130380,309,443163
ALLIN TOWNSHIP LIBRARY,IL,1248,0,678
STAUNTON PUBLIC LIBRARY,IL,4000,6,3629
STEELEVILLE AREA PUBLIC LIBRARY DISTRICT,IL,9329,262,13597
STEGER-SOUTH CHICAGO HEIGHTS PUBLIC LIBRARY DISTRICT,IL,7488,45,22659
STERLING PUBLIC LIBRARY,IL,6235,56,61770
STICKNEY-FOREST VIEW PUBLIC LIBRARY DISTRICT,IL,25994,413,38620
JULIA HULL DISTRICT LIBRARY,IL,7356,184,28278
STOCKTON TOWNSHIP PUBLIC LIBRARY,IL,2349,11,12407
STONINGTON TOWNSHIP PUBLIC LIBRARY,IL,2447,69,3115
STREATOR PUBLIC LIBRARY,IL,30168,107,207923
SUGAR GROVE PUBLIC LIBRARY DISTRICT,IL,45368,210,114343
ELIZABETH TITUS MEMORIAL LIBRARY,IL,33978,143,44995
SYCAMORE PUBLIC LIBRARY,IL,72349,525,176223
TALCOTT FREE LIBRARY DISTRICT,IL,25283,33,63081
TAYLORVILLE PUBLIC LIBRARY,IL,13389,,43510
YORK TOWNSHIP PUBLIC LIBRARY,IL,1920,114,11012
THORNTON PUBLIC LIBRARY,IL,3307,20,8429
THREE RIVERS PUBLIC LIBRARY DISTRICT,IL,50600,190,134716
TINLEY PARK PUBLIC LIBRARY,IL,157136,921,611878
TISKILWA PUBLIC LIBRARY,IL,6346,146,7995
SUMPTER TOWNSHIP LIBRARY,IL,763,29,7183
TOLONO PUBLIC LIBRARY DISTRICT,IL,24678,118,81374
TOLUCA PUBLIC LIBRARY DISTRICT,IL,1195,4,3160
TOULON PUBLIC LIBRARY DISTRICT,IL,33103,500,20162
TOWANDA DISTRICT LIBRARY,IL,3510,8,19281
TREMONT DISTRICT LIBRARY,IL,30573,210,70651
TRENTON PUBLIC LIBRARY,IL,8008,30,16288
TRI-TOWNSHIP PUBLIC LIBRARY DISTRICT,IL,50528,743,87617
TUSCOLA PUBLIC LIBRARY,IL,15554,207,22472
COLONA DISTRICT PUBLIC LIBRARY,IL,9258,95,22639
UNIVERSITY PARK PUBLIC LIBRARY DISTRICT,IL,10288,60,13583
URBANA FREE LIBRARY,IL,168677,392,616484
UTICA PUBLIC LIBRARY DISTRICT,IL,7810,14,10448
VALLEY DISTRICT LIBRARY,IL,1984,25,2075
VALMEYER PUBLIC LIBRARY DISTRICT,IL,12031,20,4982
EVANS PUBLIC LIBRARY DISTRICT,IL,28082,51,38853
VENICE PUBLIC LIBRARY,IL,1110,0,2
VERMONT PUBLIC LIBRARY,IL,2270,3,982
VERNON AREA PUBLIC LIBRARY DISTRICT,IL,133697,1114,638470
VICTORIA PUBLIC LIBRARY DISTRICT,IL,3525,6,4700
VIENNA CARNEGIE PUBLIC LIBRARY,IL,4800,0,6143
CAMARGO TOWNSHIP DISTRICT LIBRARY,IL,16744,104,21359
VILLA PARK PUBLIC LIBRARY,IL,74944,318,253287
VIOLA PUBLIC LIBRARY DISTRICT,IL,7646,40,20765
GRAND PRAIRIE OF THE WEST PUBLIC LIBRARY DISTRICT,IL,7750,1,8777
VIRGINIA MEMORIAL PUBLIC LIBRARY,IL,1119,9,3846
WALNUT PUBLIC LIBRARY DISTRICT,IL,3613,94,7127
WARREN TOWNSHIP PUBLIC LIBRARY,IL,3508,60,27244
WARREN COUNTY PUBLIC LIBRARY DISTRICT,IL,47043,154,80508
WARREN-NEWPORT PUBLIC LIBRARY DISTRICT,IL,154072,471,477742
WARRENVILLE PUBLIC LIBRARY DISTRICT,IL,64189,422,192212
WARSAW PUBLIC LIBRARY,IL,6240,0,6038
WASHINGTON DISTRICT LIBRARY,IL,83613,465,183008
MORRISON-TALBOTT LIBRARY,IL,32267,160,85575
CLINTON TOWNSHIP PUBLIC LIBRARY,IL,4166,8,12239
WATSEKA PUBLIC LIBRARY,IL,13545,72,31950
WAUCONDA AREA PUBLIC LIBRARY DISTRICT,IL,75494,193,360482
WAUKEGAN PUBLIC LIBRARY,IL,33754,1100,136735
WAVERLY PUBLIC LIBRARY,IL,832,7,927
WAYNE CITY KISSNER PUBLIC LIBRARY,IL,2090,12,1849
WAYNESVILLE TOWNSHIP LIBRARY,IL,2514,77,3332
WELDON PUBLIC LIBRARY DISTRICT,IL,6402,68,5000
BOND PUBLIC LIBRARY,IL,2001,0,3700
WEST CHICAGO PUBLIC LIBRARY DISTRICT,IL,49827,499,157581
WEST FRANKFORT PUBLIC LIBRARY,IL,12000,66,9011
WEST SALEM PUBLIC LIBRARY,IL,1700,7,4069
WESTCHESTER PUBLIC LIBRARY,IL,53429,77,81430
WESTERN DISTRICT LIBRARY,IL,11752,128,20067
THOMAS FORD MEMORIAL LIBRARY,IL,52855,347,236997
WESTMONT PUBLIC LIBRARY,IL,77348,303,259759
WESTVILLE PUBLIC LIBRARY DISTRICT,IL,9872,42,17490
WHEATON PUBLIC LIBRARY,IL,221568,993,1075121
WHITE HALL TOWNSHIP LIBRARY,IL,3510,95,4297
CARLOCK PUBLIC LIBRARY DISTRICT,IL,10494,84,15989
WILLIAM LEONARD PUBLIC LIBRARY DISTRICT,IL,1300,42,177
WILMETTE PUBLIC LIBRARY DISTRICT,IL,156720,624,791022
WILMINGTON PUBLIC LIBRARY DISTRICT,IL,31655,370,60272
WINCHESTER PUBLIC LIBRARY,IL,2379,54,5001
WINDSOR STORM MEMORIAL PUBLIC LIBRARY DISTRICT,IL,5647,28,6106
WINFIELD PUBLIC LIBRARY,IL,23291,87,70285
WINNEBAGO PUBLIC LIBRARY DISTRICT,IL,5232,74,34259
WINNETKA-NORTHFIELD PUBLIC LIBRARY DISTRICT,IL,121917,1266,412029
WITT TOWNSHIP MEMORIAL LIBRARY,IL,850,0,1190
WOOD DALE PUBLIC LIBRARY DISTRICT,IL,27666,558,71677
WOOD RIVER PUBLIC LIBRARY,IL,21776,260,41975
WOODRIDGE PUBLIC LIBRARY,IL,113069,331,507310
WOODSTOCK PUBLIC LIBRARY,IL,148947,127,211328
WORDEN PUBLIC LIBRARY DISTRICT,IL,1654,2,4169
WORTH PUBLIC LIBRARY DISTRICT,IL,17165,99,29406
RAYMOND A SAPP MEMORIAL TOWNSHIP LIBRARY,IL,1475,6,2882
WYOMING PUBLIC LIBRARY DISTRICT,IL,13240,55,19694
YORKVILLE PUBLIC LIBRARY,IL,55531,389,97112
ZEIGLER PUBLIC LIBRARY,IL,2168,22,2767
ZION-BENTON PUBLIC LIBRARY DISTRICT,IL,80238,288,168598
VESPASIAN WARNER PUBLIC LIBRARY DISTRICT,IL,33320,199,53661
WEST UNION DISTRICT LIBRARY,IL,5382,27,7925
BRIGHTON MEMORIAL LIBRARY DISTRICT,IL,5797,65,18930
FARMERSVILLE-WAGGONER PUBLIC LIBRARY DISTRICT,IL,7233,0,17094
LINCOLNWOOD PUBLIC LIBRARY DISTRICT,IL,58503,440,165831
MELROSE PARK PUBLIC LIBRARY,IL,34580,0,24913
SMITHTON PUBLIC LIBRARY DISTRICT,IL,17668,130,25759
FOUR STAR PUBLIC LIBRARY DISTRICT,IL,4347,87,9211
RAMSEY PUBLIC LIBRARY,IL,350,1,946
WILLIAMSFIELD PUBLIC LIBRARY DISTRICT,IL,2803,155,5580
CISSNA PARK COMMUNITY LIBRARY DISTRICT,IL,3050,313,22179
ARGENTA-OREANA PUBLIC LIBRARY DISTRICT,IL,7785,91,24156
HUNTLEY AREA PUBLIC LIBRARY DISTRICT,IL,131670,258,434741
CRESTWOOD PUBLIC LIBRARY DISTRICT,IL,33876,246,42804
GLEN CARBON CENTENNIAL LIBRARY DISTRICT,IL,45566,253,121975
HUDSON AREA PUBLIC LIBRARY DISTRICT,IL,13305,224,31074
ROBERT W. ROWE PUBLIC LIBRARY DISTRICT,IL,16254,299,13247
DOYLE PUBLIC LIBRARY DISTRICT,IL,5424,270,7076
CORTLAND COMMUNITY LIBRARY,IL,24840,443,37112
CRESTON-DEMENT PUBLIC LIBRARY DISTRICT,IL,5252,138,6839
GERMANTOWN PUBLIC LIBRARY DISTRICT,IL,3012,96,7843
BEECHER COMMUNITY LIBRARY DISTRICT,IL,12500,169,30351
CENTRAL CITIZENS' LIBRARY DISTRICT,IL,18996,282,15794
CLIFTON PUBLIC LIBRARY,IL,1186,4,1324
SHERMAN PUBLIC LIBRARY DISTRICT,IL,17975,74,34510
ATHENS MUNICIPAL LIBRARY,IL,11031,188,22360
FREEBURG AREA LIBRARY DISTRICT,IL,15351,90,24102
PEMBROKE PUBLIC LIBRARY DISTRICT,IL,5312,434,4940
LIMESTONE TOWNSHIP LIBRARY DISTRICT,IL,10920,243,18215
RIVERTON VILLAGE LIBRARY,IL,6224,77,10152
WILLIAMSVILLE PUBLIC LIBRARY AND MUSEUM,IL,3780,25,14388
RIVERSIDE PUBLIC LIBRARY,IL,51162,394,114549
HINCKLEY PUBLIC LIBRARY DISTRICT,IL,12242,233,17915
TILDEN PUBLIC LIBRARY,IL,155,12,139
MARYVILLE COMMUNITY LIBRARY DISTRICT,IL,14353,32,32666
NEWMAN REGIONAL LIBRARY DISTRICT,IL,2247,15,3577
CARRIER MILLS-STONEFORT PUBLIC LIBRARY DISTRICT,IL,4290,3,1456
SUMMIT PUBLIC LIBRARY DISTRICT,IL,39289,65,6240
TRI-CITY PUBLIC LIBRARY DISTRICT,IL,7390,220,6931
PHOENIX PUBLIC LIBRARY DISTRICT,IL,5000,17,374
GALATIA PUBLIC LIBRARY DISTRICT,IL,15839,83,7262
FRANK BERTETTI BENLD PUBLIC LIBRARY,IL,2850,42,6499
WEST SANGAMON PUBLIC LIBRARY DISTRICT,IL,3243,169,12829
KINMUNDY PUBLIC LIBRARY,IL,4173,30,5560
CHARLES B. PHILLIPS PUBLIC LIBRARY DISTRICT,IL,6240,85,12288
CHENEYS GROVE TOWNSHIP LIBRARY,IL,1079,0,565
FLANAGAN PUBLIC LIBRARY DISTRICT,IL,3016,58,6108
WASHINGTON CARNEGIE PUBLIC LIBRARY,IN,59114,323,44708
ODON WINKELPLECK PUBLIC LIBRARY,IN,5610,37,19580
JASPER-DUBOIS COUNTY CONTRACTUAL PUBLIC LIBRARY,IN,194302,1395,372041
HUNTINGBURG PUBLIC LIBRARY,IN,19158,321,54841
OWENSVILLE CARNEGIE PUBLIC LIBRARY,IN,10445,430,10824
PRINCETON PUBLIC LIBRARY,IN,42730,506,33351
FORT BRANCH-JOHNSON TOWNSHIP PUBLIC LIBRARY,IN,20124,500,72423
OAKLAND CITY-COLUMBIA TOWNSHIP PUBLIC LIBRARY,IN,7534,133,17775
BICKNELL-VIGO TOWNSHIP PUBLIC LIBRARY,IN,6324,59,6107
KNOX COUNTY PUBLIC LIBRARY,IN,124400,89,67928
LOOGOOTEE PUBLIC LIBRARY,IN,12896,76,30175
SHOALS PUBLIC LIBRARY,IN,5412,110,7905
PERRY COUNTY PUBLIC LIBRARY,IN,43901,176,106599
PIKE COUNTY PUBLIC LIBRARY,IN,16801,674,37461
POSEYVILLE CARNEGIE PUBLIC LIBRARY,IN,5377,151,15884
NEW HARMONY WORKINGMEN`S INSTITUTE,IN,7438,139,11458
ALEXANDRIAN PUBLIC LIBRARY,IN,30914,387,126929
SPENCER COUNTY PUBLIC LIBRARY,IN,36040,702,51609
EVANSVILLE-VANDERBURGH PUBLIC LIBRARY,IN,608342,2050,1375741
WILLARD LIBRARY OF EVANSVILLE,IN,48133,209,247368
NEWBURGH CHANDLER PUBLIC LIBRARY,IN,135069,479,331585
BOONVILLE-WARRICK COUNTY PUBLIC LIBRARY,IN,46136,859,90278
REMINGTON-CARPENTER TOWNSHIP PUBLIC LIBRARY,IN,5961,108,13492
JASPER COUNTY PUBLIC LIBRARY,IN,130416,680,253952
WHITING PUBLIC LIBRARY,IN,54851,339,44922
EAST CHICAGO PUBLIC LIBRARY,IN,47078,1316,13148
GARY PUBLIC LIBRARY,IN,158170,122,102339
HAMMOND PUBLIC LIBRARY,IN,112457,464,138444
LAKE COUNTY PUBLIC LIBRARY,IN,564142,2238,2140236
CROWN POINT COMMUNITY PUBLIC LIBRARY,IN,149536,870,345539
MICHIGAN CITY PUBLIC LIBRARY,IN,83745,504,106005
WESTVILLE-NEW DURHAM TOWNSHIP PUBLIC LIBRARY,IN,5790,50,17046
WANATAH PUBLIC LIBRARY,IN,2800,56,8401
LA CROSSE PUBLIC LIBRARY,IN,5095,119,6939
LA PORTE COUNTY PUBLIC LIBRARY,IN,180766,628,491356
NEWTON COUNTY PUBLIC LIBRARY,IN,29900,345,58043
BROOK-IROQUOIS-WASHINGTON TOWNSHIP PUBLIC LIBRARY,IN,4197,147,15386
KENTLAND-JEFFERSON TOWNSHIP PUBLIC LIBRARY,IN,6000,109,13142
GOODLAND & GRANT TOWNSHIP PUBLIC LIBRARY,IN,4800,39,3970
PORTER COUNTY PUBLIC LIBRARY SYSTEM,IN,376047,742,1134875
WESTCHESTER PUBLIC LIBRARY,IN,130715,317,191904
FRANCESVILLE-SALEM TOWNSHIP PUBLIC LIBRARY,IN,11215,90,20513
PULASKI COUNTY PUBLIC LIBRARY,IN,24882,407,64857
MONTEREY-TIPPECANOE TOWNSHIP PUBLIC LIBRARY,IN,3300,110,4548
NORTH JUDSON-WAYNE TOWNSHIP PUBLIC LIBRARY,IN,7728,80,12107
STARKE COUNTY PUBLIC LIBRARY SYSTEM,IN,44706,262,82507
ELKHART PUBLIC LIBRARY,IN,159187,1453,341218
WAKARUSA-OLIVE & HARRISON TOWNSHIP PUBLIC LIBRARY,IN,33904,163,96386
NAPPANEE PUBLIC LIBRARY,IN,87481,455,110120
BRISTOL-WASHINGTON TOWNSHIP PUBLIC LIBRARY,IN,10296,214,29488
GOSHEN PUBLIC LIBRARY,IN,115510,281,372240
MIDDLEBURY COMMUNITY PUBLIC LIBRARY,IN,48982,265,142592
BELL MEMORIAL PUBLIC LIBRARY,IN,750,106,25795
WARSAW COMMUNITY PUBLIC LIBRARY,IN,91841,359,467001
MILFORD PUBLIC LIBRARY,IN,9100,109,50266
SYRACUSE-TURKEY CREEK TOWNSHIP PUBLIC LIBRARY,IN,31200,407,72181
PIERCETON & WASHINGTON TOWNSHIP PUBLIC LIBRARY,IN,2100,26,3426
CULVER-UNION TOWNSHIP PUBLIC LIBRARY,IN,29727,623,32105
PLYMOUTH PUBLIC LIBRARY,IN,119089,309,201164
BREMEN PUBLIC LIBRARY,IN,57876,728,128364
ARGOS PUBLIC LIBRARY,IN,10366,111,15799
BOURBON PUBLIC LIBRARY,IN,11700,69,41078
NEW CARLISLE & OLIVE TOWNSHIP PUBLIC LIBRARY,IN,43768,224,89531
WALKERTON-LINCOLN TOWNSHIP PUBLIC LIBRARY,IN,11392,113,12398
ST JOSEPH COUNTY PUBLIC LIBRARY,IN,585418,1940,1822264
MISHAWAKA-PENN-HARRIS PUBLIC LIBRARY,IN,155553,719,768133
BERNE PUBLIC LIBRARY,IN,25336,190,63827
ALLEN COUNTY PUBLIC LIBRARY,IN,1448988,5344,4100157
GARRETT PUBLIC LIBRARY,IN,36911,583,55659
ECKHART PUBLIC LIBRARY,IN,48490,534,150192
WATERLOO-GRANT TOWNSHIP PUBLIC LIBRARY,IN,13260,292,26107
BUTLER PUBLIC LIBRARY,IN,18945,370,23932
ANDREWS-DALLAS TOWNSHIP PUBLIC LIBRARY,IN,3801,107,11498
ROANOKE PUBLIC LIBRARY,IN,9932,113,13339
HUNTINGTON CITY-TOWNSHIP PUBLIC LIBRARY,IN,104088,422,228016
WARREN PUBLIC LIBRARY,IN,4316,45,14257
LA GRANGE COUNTY PUBLIC LIBRARY,IN,70115,551,488358
LIGONIER PUBLIC LIBRARY,IN,21406,176,33129
NOBLE COUNTY PUBLIC LIBRARY,IN,135986,424,122524
KENDALLVILLE PUBLIC LIBRARY,IN,119571,645,195420
CARNEGIE PUBLIC LIBRARY OF STEUBEN COUNTY,IN,118950,266,106595
FREMONT PUBLIC LIBRARY,IN,35880,368,58586
WELLS COUNTY PUBLIC LIBRARY,IN,130542,812,270499
SOUTH WHITLEY COMMUNITY PUBLIC LIBRARY,IN,32870,518,39434
PEABODY PUBLIC LIBRARY,IN,131475,650,163595
CHURUBUSCO PUBLIC LIBRARY,IN,21500,154,18153
YORK TOWNSHIP PUBLIC LIBRARY,IN,371,84,611
EARL PARK-RICHLAND TOWNSHIP PUBLIC LIBRARY,IN,1048,115,1145
BOSWELL-GRANT TOWNSHIP PUBLIC LIBRARY,IN,2780,42,7253
BENTON COUNTY PUBLIC LIBRARY,IN,12376,809,23483
OXFORD PUBLIC LIBRARY,IN,16486,312,23135
OTTERBEIN PUBLIC LIBRARY,IN,15461,222,17910
DELPHI PUBLIC LIBRARY,IN,42790,244,90251
CAMDEN-JACKSON TOWNSHIP PUBLIC LIBRARY,IN,2686,17,3534
FLORA-MONROE TOWNSHIP PUBLIC LIBRARY,IN,9990,157,27535
COLFAX-PERRY TOWNSHIP PUBLIC LIBRARY,IN,2600,110,6604
FRANKFORT COMMUNITY PUBLIC LIBRARY-CLINTON COUNTY CONTRACTUA,IN,108336,1256,188903
KIRKLIN PUBLIC LIBRARY,IN,6395,79,9781
ATTICA PUBLIC LIBRARY,IN,14607,154,23974
COVINGTON-VEEDERSBURG PUBLIC LIBRARY,IN,25123,497,50655
KINGMAN-MILLCREEK PUBLIC LIBRARY,IN,6546,63,4582
CRAWFORDSVILLE DISTRICT PUBLIC LIBRARY,IN,89090,342,134624
WAVELAND-BROWN TOWNSHIP PUBLIC LIBRARY,IN,7457,118,8392
LINDEN CARNEGIE PUBLIC LIBRARY,IN,2985,139,8679
DARLINGTON PUBLIC LIBRARY,IN,15600,32,15802
LADOGA-CLARK TOWNSHIP PUBLIC LIBRARY,IN,2796,62,12187
WEST LAFAYETTE PUBLIC LIBRARY,IN,105591,420,213139
TIPPECANOE COUNTY PUBLIC LIBRARY,IN,241379,574,1645472
WEST LEBANON-PIKE TOWNSHIP PUBLIC LIBRARY,IN,6240,27,5387
WILLIAMSPORT-WASHINGTON TOWNSHIP PUBLIC LIBRARY,IN,32200,121,18279
WOLCOTT COMMUNITY PUBLIC LIBRARY,IN,9120,56,13685
BROOKSTON-PRAIRIE TOWNSHIP PUBLIC LIBRARY,IN,1561,224,21162
MONON TOWN & TOWNSHIP PUBLIC LIBRARY,IN,7526,99,10191
MONTICELLO-UNION TOWNSHIP PUBLIC LIBRARY,IN,49048,386,62941
ROYAL CENTER-BOONE TOWNSHIP PUBLIC LIBRARY,IN,2628,234,5976
LOGANSPORT-CASS COUNTY PUBLIC LIBRARY,IN,173220,317,186838
WALTON & TIPTON TOWNSHIP PUBLIC LIBRARY,IN,8040,302,20497
KEWANNA-UNION TOWNSHIP PUBLIC LIBRARY,IN,8490,799,10548
FULTON COUNTY PUBLIC LIBRARY,IN,85917,864,178223
AKRON CARNEGIE PUBLIC LIBRARY,IN,18579,199,29826
KOKOMO-HOWARD COUNTY PUBLIC LIBRARY,IN,287786,1428,579912
GREENTOWN & EASTERN HOWARD SCHOOL PUBLIC LIBRARY,IN,81590,257,80477
PERU PUBLIC LIBRARY,IN,31969,177,48220
CONVERSE-JACKSON TOWNSHIP PUBLIC LIBRARY,IN,4888,31,15402
TIPTON COUNTY PUBLIC LIBRARY,IN,41294,152,130051
ROANN-PAW PAW TOWNSHIP PUBLIC LIBRARY,IN,1014,12,2096
NORTH MANCHESTER PUBLIC LIBRARY,IN,65838,514,89400
